ts_code,trade_type,trade_date,price,shares,amount,profit,profit_pct,reason
688516.SH,buy,20240105,82.01192999999999,1800,147621.474,0.0,0.0,信号: oversold_reversal
000858.SZ,buy,20240108,128.22809999999998,900,115405.29,0.0,0.0,信号: oversold_reversal
002965.SZ,buy,20240108,38.60856999999999,2800,108103.99599999998,0.0,0.0,信号: oversold_reversal
600132.SH,buy,20240108,60.490429999999996,1500,90735.64499999999,0.0,0.0,信号: oversold_reversal
301029.SZ,buy,20240110,23.16314,3400,78754.67599999999,0.0,0.0,信号: oversold_reversal
301029.SZ,sell,20240117,21.3786,3400,72687.23999999999,-6161.929411999998,-0.07824207685141131,止损/止盈/到期
688516.SH,sell,20240119,83.95596,1800,151120.728,3302.797053600021,0.022373418745297323,止损/止盈/到期
000858.SZ,sell,20240122,126.873,900,114185.7,-1368.0314099999814,-0.01185414819372649,止损/止盈/到期
002965.SZ,sell,20240122,34.54542,2800,96727.176,-11502.565328799974,-0.10640277653381079,止损/止盈/到期
600132.SH,sell,20240122,58.15179,1500,87227.685,-3621.3559904999856,-0.03991106241102916,止损/止盈/到期
300799.SZ,buy,20240206,17.39738,8400,146137.992,0.0,0.0,信号: oversold_reversal
300799.SZ,sell,20240207,20.83914,8400,175048.776,28683.22059120002,0.19627490564671246,止损/止盈/到期
600088.SH,buy,20240207,19.399379999999997,7800,151315.164,0.0,0.0,信号: oversold_reversal
600088.SH,sell,20240220,21.558419999999998,7800,168155.67599999998,16621.9096212,0.10984959591492101,止损/止盈/到期
000959.SZ,buy,20240304,3.2132099999999997,47900,153912.759,0.0,0.0,信号: oversold_reversal
002433.SZ,buy,20240305,1.8218199999999998,71800,130806.67599999999,0.0,0.0,信号: oversold_reversal
301101.SZ,buy,20240305,29.34932,3700,108592.48399999998,0.0,0.0,信号: oversold_reversal
002548.SZ,buy,20240306,4.084079999999999,23200,94750.65599999999,0.0,0.0,信号: oversold_reversal
603708.SH,buy,20240306,9.909899999999999,8100,80270.18999999999,0.0,0.0,信号: oversold_reversal
002433.SZ,sell,20240311,1.98801,71800,142739.11800000002,11746.881146600033,0.08980337629403591,止损/止盈/到期
688293.SH,buy,20240311,40.10006,2200,88220.13199999998,0.0,0.0,信号: oversold_reversal
688293.SH,sell,20240314,44.62533,2200,98175.726,9827.965556199997,0.11140275278889854,止损/止盈/到期
000959.SZ,sell,20240318,3.2867100000000002,47900,157433.409,3315.9865683000244,0.021544585321220996,止损/止盈/到期
603708.SH,sell,20240318,10.87911,8100,88120.79100000001,7736.043971700026,0.09637505494505529,止损/止盈/到期
301101.SZ,sell,20240319,30.71925,3700,113661.22499999999,4920.981407499989,0.045316040541995416,止损/止盈/到期
002548.SZ,sell,20240319,4.56543,23200,105917.976,11029.626631200008,0.11640686298995133,止损/止盈/到期
600070.SH,buy,20240321,1.9519499999999996,82600,161231.06999999998,0.0,0.0,信号: oversold_reversal
603312.SH,buy,20240325,28.298269999999995,4800,135831.696,0.0,0.0,信号: oversold_reversal
688046.SH,buy,20240325,13.663649999999999,8500,116141.025,0.0,0.0,信号: oversold_reversal
001210.SZ,buy,20240327,14.9149,6600,98438.33999999998,0.0,0.0,信号: oversold_reversal
002082.SZ,buy,20240327,4.884879999999999,17200,84019.93599999999,0.0,0.0,信号: oversold_reversal
688046.SH,sell,20240329,12.84714,8500,109200.69,-7082.295896999989,-0.06098013942101845,止损/止盈/到期
